respondent_id,date,nps_score,reason,department,role_level
R_0288,2024-10-03,9,Love the new features!,Finance,Senior
R_0289,2024-05-22,8,Missing some features.,Product,Mid
R_0290,2024-03-03,10,Love the new features!,Engineering,Manager
R_0291,2024-10-30,9,Easy to use and intuitive.,Engineering,Mid
R_0292,2024-09-16,8,"It's okay, does the job.",Marketing,Manager
R_0293,2024-02-11,10,Easy to use and intuitive.,HR,Mid
R_0294,2024-05-28,10,Great support team.,Product,Junior
R_0295,2024-03-03,10,Great support team.,Sales,Director
R_0296,2024-10-31,8,Satisfactory overall.,HR,Manager
R_0297,2024-03-23,10,Great support team.,HR,Junior
R_0298,2024-07-26,7,"It's okay, does the job.",Sales,Lead
R_0299,2024-05-25,0,Too expensive for what it is.,Finance,Mid
R_0300,2024-07-25,9,Great support team.,Marketing,Lead
R_0301,2024-06-21,4,Too expensive for what it is.,Finance,Director
R_0302,2024-10-06,9,Great support team.,Product,Senior
R_0303,2024-07-01,8,Missing some features.,HR,Lead
R_0304,2024-12-01,6,Crashes frequently.,Finance,Manager
R_0305,2024-07-20,10,Love the new features!,Sales,Manager
R_0306,2024-04-16,9,Love the new features!,Sales,Manager
R_0307,2024-05-02,10,Very fast and reliable.,Finance,Junior
R_0308,2024-11-07,10,Easy to use and intuitive.,Marketing,Lead
R_0309,2024-08-10,10,Great support team.,Sales,Director
R_0310,2024-05-25,8,Missing some features.,HR,Junior
R_0311,2024-03-20,9,Easy to use and intuitive.,HR,Senior
R_0312,2024-07-23,10,Easy to use and intuitive.,Sales,Junior
R_0313,2024-08-31,7,Satisfactory overall.,HR,Senior
R_0314,2024-12-01,8,"Good, but could be faster.",Engineering,Lead
R_0315,2024-06-13,7,Satisfactory overall.,HR,Manager
R_0316,2024-04-05,7,"It's okay, does the job.",Finance,Senior
R_0317,2024-04-01,9,Very fast and reliable.,Engineering,Mid
R_0318,2024-08-23,9,Love the new features!,Marketing,Mid
R_0319,2024-09-23,0,Support is very slow.,HR,Senior
R_0320,2024-04-24,10,Very fast and reliable.,Engineering,Senior
R_0321,2024-02-03,8,"It's okay, does the job.",Sales,Manager
R_0322,2024-03-09,7,"It's okay, does the job.",Product,Mid
R_0323,2024-02-04,9,Easy to use and intuitive.,Finance,Director
R_0324,2024-04-16,9,Great support team.,Finance,Director
R_0325,2024-04-10,8,"It's okay, does the job.",HR,Manager
R_0326,2024-07-09,2,Too expensive for what it is.,Engineering,Manager
R_0327,2024-10-17,10,Very fast and reliable.,Engineering,Senior
R_0328,2024-11-17,6,Too many bugs.,Product,Manager
R_0329,2024-02-01,10,Love the new features!,HR,Junior
R_0330,2024-08-07,5,Too expensive for what it is.,Sales,Lead
R_0331,2024-06-06,10,Very fast and reliable.,Marketing,Manager
R_0332,2024-10-20,9,Love the new features!,Finance,Senior
R_0333,2024-01-12,9,Easy to use and intuitive.,Sales,Lead
R_0334,2024-03-11,9,Easy to use and intuitive.,HR,Lead
R_0335,2024-11-26,10,Very fast and reliable.,Finance,Junior
R_0336,2024-12-17,8,"It's okay, does the job.",Engineering,Senior
R_0337,2024-08-06,10,Love the new features!,Sales,Junior
R_0338,2024-04-22,9,Very fast and reliable.,Finance,Junior
R_0339,2024-03-07,2,Support is very slow.,Product,Mid
R_0340,2024-06-15,10,Easy to use and intuitive.,Marketing,Manager
R_0341,2024-04-25,9,Love the new features!,Sales,Manager
R_0342,2024-01-04,10,Easy to use and intuitive.,Engineering,Senior
R_0343,2024-01-24,3,Crashes frequently.,Marketing,Mid
R_0344,2024-12-08,10,Very fast and reliable.,Marketing,Lead
R_0345,2024-12-23,10,Love the new features!,Finance,Director
R_0346,2024-05-06,5,Too many bugs.,Finance,Director
R_0347,2024-06-30,9,Love the new features!,Marketing,Director
R_0348,2024-05-03,7,"It's okay, does the job.",Sales,Lead
R_0349,2024-05-16,2,Crashes frequently.,Finance,Manager
R_0350,2024-06-18,9,Great support team.,Sales,Senior
R_0351,2024-04-25,10,Love the new features!,Sales,Mid
R_0352,2024-07-12,10,Very fast and reliable.,Finance,Mid
R_0353,2024-05-10,3,Support is very slow.,Sales,Lead
R_0354,2024-12-12,9,Very fast and reliable.,Finance,Manager
R_0355,2024-01-24,9,Love the new features!,Sales,Senior
R_0356,2024-03-17,5,Too many bugs.,Engineering,Junior
R_0357,2024-11-25,9,Very fast and reliable.,Engineering,Director
R_0358,2024-01-03,9,Easy to use and intuitive.,Sales,Senior
R_0359,2024-11-09,8,"Good, but could be faster.",Sales,Manager
R_0360,2024-06-08,7,Missing some features.,Marketing,Junior
R_0361,2024-05-21,10,Easy to use and intuitive.,Engineering,Junior
R_0362,2024-04-09,10,Easy to use and intuitive.,Sales,Manager
R_0363,2024-07-08,10,Very fast and reliable.,Product,Manager
R_0364,2024-06-01,10,Love the new features!,Finance,Mid
R_0365,2024-08-20,9,Very fast and reliable.,HR,Senior
R_0366,2024-11-01,7,Satisfactory overall.,Product,Mid
R_0367,2024-09-14,10,Great support team.,Product,Mid
R_0368,2024-09-24,8,Missing some features.,Sales,Lead
R_0369,2024-04-01,8,Satisfactory overall.,Engineering,Mid
R_0370,2024-10-23,8,"Good, but could be faster.",Sales,Senior
R_0371,2024-12-21,5,Crashes frequently.,Marketing,Mid
R_0372,2024-02-20,5,Too expensive for what it is.,Sales,Lead
R_0373,2024-03-21,9,Very fast and reliable.,Engineering,Mid
R_0374,2024-03-03,7,Satisfactory overall.,Finance,Lead
R_0375,2024-01-31,10,Very fast and reliable.,Marketing,Senior
R_0376,2024-08-07,10,Love the new features!,Marketing,Mid
R_0377,2024-07-29,10,Easy to use and intuitive.,Sales,Manager
R_0378,2024-07-19,9,Easy to use and intuitive.,Sales,Lead
R_0379,2024-05-02,2,Too many bugs.,Sales,Lead
R_0380,2024-03-14,9,Great support team.,Marketing,Manager
R_0381,2024-06-16,9,Very fast and reliable.,Finance,Manager
R_0382,2024-03-09,9,Love the new features!,Finance,Manager
R_0383,2024-09-04,9,Great support team.,Marketing,Lead
R_0384,2024-09-13,9,Easy to use and intuitive.,Engineering,Lead
R_0385,2024-12-22,10,Very fast and reliable.,Finance,Director
R_0386,2024-03-25,10,Very fast and reliable.,HR,Manager
R_0387,2024-07-20,9,Love the new features!,Marketing,Director
R_0388,2024-07-28,10,Love the new features!,Engineering,Lead
R_0389,2024-08-05,10,Love the new features!,Marketing,Director
R_0390,2024-09-14,3,Support is very slow.,Marketing,Director
R_0391,2024-04-12,9,Great support team.,Marketing,Lead
R_0392,2024-10-03,9,Easy to use and intuitive.,Marketing,Mid
R_0393,2024-06-10,10,Great support team.,Finance,Lead
R_0394,2024-04-05,7,Satisfactory overall.,Finance,Manager
R_0395,2024-07-25,10,Love the new features!,Sales,Mid
R_0396,2024-05-27,7,"It's okay, does the job.",Product,Junior
R_0397,2024-07-16,10,Great support team.,HR,Senior
R_0398,2024-02-15,10,Great support team.,Engineering,Director
R_0399,2024-03-25,10,Easy to use and intuitive.,Product,Senior
R_0400,2024-10-18,3,Too expensive for what it is.,Product,Junior
R_0401,2024-08-11,10,Very fast and reliable.,Product,Junior
R_0402,2024-01-23,10,Very fast and reliable.,Engineering,Lead
R_0403,2024-02-19,8,"It's okay, does the job.",Product,Manager
R_0404,2024-11-12,9,Easy to use and intuitive.,Finance,Manager
R_0405,2024-05-03,10,Great support team.,Engineering,Lead
R_0406,2024-11-05,10,Very fast and reliable.,Finance,Senior
R_0407,2024-05-28,7,"Good, but could be faster.",Finance,Senior
R_0408,2024-01-08,4,Support is very slow.,HR,Manager
R_0409,2024-07-04,10,Great support team.,Finance,Director
R_0410,2024-12-17,9,Love the new features!,Marketing,Manager
R_0411,2024-07-08,10,Easy to use and intuitive.,Engineering,Lead
R_0412,2024-11-16,9,Love the new features!,Marketing,Manager
R_0413,2024-10-03,4,Too many bugs.,Marketing,Mid
R_0414,2024-01-27,8,"Good, but could be faster.",Marketing,Mid
R_0415,2024-08-30,7,"It's okay, does the job.",Engineering,Lead
R_0416,2024-03-22,10,Easy to use and intuitive.,Finance,Director
R_0417,2024-07-18,10,Great support team.,Product,Lead
R_0418,2024-11-12,7,"Good, but could be faster.",Marketing,Manager
R_0419,2024-10-15,10,Easy to use and intuitive.,Finance,Junior
R_0420,2024-04-21,4,Support is very slow.,Marketing,Lead
R_0421,2024-07-28,8,Missing some features.,Finance,Lead
R_0422,2024-04-14,9,Love the new features!,Marketing,Senior
R_0423,2024-05-30,10,Love the new features!,Finance,Manager
R_0424,2024-10-12,9,Very fast and reliable.,Sales,Lead
R_0425,2024-05-26,7,"Good, but could be faster.",Engineering,Senior
R_0426,2024-10-23,10,Love the new features!,Sales,Junior
R_0427,2024-10-20,9,Love the new features!,Marketing,Senior
R_0428,2024-09-04,7,"It's okay, does the job.",Engineering,Senior
R_0429,2024-01-24,9,Great support team.,Sales,Director
R_0430,2024-07-28,9,Easy to use and intuitive.,Sales,Mid
R_0431,2024-08-21,5,Too expensive for what it is.,Product,Senior
R_0432,2024-07-10,8,Missing some features.,Finance,Director
R_0433,2024-11-17,10,Love the new features!,HR,Director
R_0434,2024-04-10,7,Satisfactory overall.,Engineering,Mid
R_0435,2024-01-02,1,Too many bugs.,Sales,Junior
R_0436,2024-08-24,9,Love the new features!,Marketing,Director
R_0437,2024-11-17,10,Easy to use and intuitive.,Product,Senior
R_0438,2024-06-09,10,Easy to use and intuitive.,Sales,Lead
R_0439,2024-11-29,7,"It's okay, does the job.",HR,Director
R_0440,2024-03-06,7,Satisfactory overall.,Marketing,Mid
R_0441,2024-02-15,9,Love the new features!,Product,Lead
R_0442,2024-05-23,0,Too many bugs.,Sales,Manager
R_0443,2024-02-24,10,Great support team.,Product,Director
R_0444,2024-07-21,6,Crashes frequently.,HR,Lead
R_0445,2024-09-16,10,Great support team.,Engineering,Lead
R_0446,2024-01-18,7,"Good, but could be faster.",Marketing,Junior
R_0447,2024-07-19,10,Love the new features!,HR,Senior
R_0448,2024-08-11,0,Support is very slow.,Sales,Mid
R_0449,2024-03-14,2,Too expensive for what it is.,Product,Director
R_0450,2024-01-30,10,Easy to use and intuitive.,Sales,Lead
R_0451,2024-07-10,10,Love the new features!,Sales,Lead
